Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness
31768,650.954,220.9594949,183.2920681,1.205504947,0.558465259,32173,201.1175623,0.777674419,0.987411805,NA,0.910201041
NA,642.092,NA,180.9171228,1.238051321,0.589564969,NA,201.2536289,0.773877293,0.992480968,NA,0.898515141
31821,649.681,213.7356452,NA,1.125106823,0.458286561,32168,201.2852592,0.772354369,0.989212882,0.947378132,0.941748668
NA,662.532,222.8726889,NA,1.225284154,0.57785815,NA,201.2915846,0.774847821,0.986025903,NA,0.903168466
31837,656.404,224.9125542,NA,1.246471264,0.596968354,32238,201.3358572,NA,0.987561263,NA,0.89517394
31915,640.718,216.3203615,188.0653069,1.150240653,0.494138341,32184,201.5823407,NA,0.99164181,0.976946683,0.93186947
31972,639.974,213.6874805,190.6449473,1.120866215,0.451705439,32246,201.7622728,0.772270531,0.991502822,NA,0.944193232
31992,640.338,212.8873637,191.4872537,1.111757361,0.436968432,NA,201.8253689,0.774212284,0.991753984,0.980466376,0.948038274
31994,654.535,212.1713961,NA,1.102632806,0.421302377,NA,201.8316774,NA,0.987743509,NA,0.951267141
32015,653.676,212.9299893,NA,1.110108127,0.43420694,NA,201.897905,0.761880964,0.988880309,NA,0.948189147
32026,654.237,230.9790674,176.9318083,1.305469433,0.642831065,NA,201.9325869,0.779448988,0.990015147,0.940247873,0.874246265
32038,645.085,224.4823211,181.9408668,1.233820224,0.5857513,NA,201.970415,0.770514671,0.991642937,NA,0.899716352
NA,652.651,216.1471468,NA,1.143813985,0.48544352,NA,201.9893264,0.778069153,0.989164995,0.945354229,0.934499156
32057,642.082,215.9182853,189.3033869,1.140593884,0.48097147,NA,202.030295,NA,0.992446054,NA,0.935679416
32066,669.313,236.436655,NA,1.364864213,0.680580172,32481,202.058653,0.780878628,0.9872233,NA,0.854599524
32109,663.582,224.4723523,NA,1.230899418,0.583080944,32567,202.1940863,0.767625332,0.985936684,0.9163206,0.90075274
NA,648.566,222.6575074,NA,1.211220556,0.564236127,32393,202.2098285,0.760670804,0.991387028,NA,0.908165329
32167,654.893,217.960517,188.2047159,1.158103377,0.504381753,NA,202.3766203,0.76059302,0.989114726,NA,0.928501286
32213,658.216,NA,185.2954324,1.195286422,0.547784367,NA,202.5212716,0.762907351,0.988583704,NA,0.914395217
32218,653.595,222.7560714,184.4046839,1.207974042,0.560975566,NA,202.5369884,0.754431565,0.989314008,NA,0.90923218
32233,665.493,221.2336837,NA,1.192040817,0.54428951,NA,202.5841313,0.775204425,0.985417304,0.91458402,0.915702021
32251,644.051,220.9809628,NA,1.187892253,0.539747143,32514,202.6406883,0.764060649,0.991911177,NA,0.917005183
32258,654.808,NA,NA,1.185348348,0.536918908,NA,202.6626784,0.775805676,0.9891451,NA,0.917839581
32262,652.419,222.6986563,NA,1.206953791,0.559941518,NA,202.6752432,0.781313572,0.99075638,NA,0.910087409
32279,646.556,218.1816038,188.5531418,1.15713587,0.503143726,NA,202.7286345,0.790183599,0.989455292,NA,0.929173821
NA,649.59,217.3714574,189.591319,1.146526426,0.489149967,NA,202.8667587,0.784843629,0.991047064,NA,0.933272294
NA,653.602,221.4113413,NA,1.189512059,0.541530905,NA,202.9138251,0.782490866,0.989777179,NA,0.916456329
32355,657.166,NA,186.3604099,1.18737462,0.539174328,NA,202.9671537,0.783793605,0.988844743,NA,0.917242866
NA,675.385,221.6580649,NA,1.190581987,0.542701939,32806,203.0079249,0.759099437,0.986648784,NA,0.915860765
NA,643.009,NA,188.3004274,1.163725525,0.511456521,NA,203.0330109,0.784302326,0.992885182,0.984008731,0.926541314
32433,653.76,219.8366971,188.0092368,1.169286684,0.518261408,NA,203.2116585,0.769320176,0.989565217,0.953586944,0.924375508
NA,653.85,NA,NA,1.225977906,0.578509868,32767,203.3118831,0.765034405,0.99078341,NA,0.902796056
32514,649.012,221.4454899,187.1344232,1.183349841,0.534673644,32843,203.4652564,0.7849831,0.989982645,NA,0.918805149
32518,651.651,NA,187.2561106,1.181605154,0.532696427,NA,203.4777716,0.758915235,0.991070068,0.962284651,0.919620402
32518,655.131,220.8211992,NA,1.176673909,0.527019605,NA,203.4777716,0.794032183,0.990134584,NA,0.921459408
32525,663.914,225.0778556,184.2147342,1.221823306,0.574579254,NA,203.4996712,0.769057978,0.985606061,0.927264249,0.904130132
32578,657.571,227.037574,NA,1.241712486,0.592813998,32901,203.6654067,NA,0.990182669,NA,0.89705595
NA,649.583,224.4241779,184.9234713,1.213605695,0.566603091,32851,203.6747839,0.772061611,0.991781072,NA,0.907543857
32615,664.789,218.1467463,191.002277,1.142115946,0.483095172,NA,203.7810289,NA,0.987854374,NA,0.934146543
32622,657.009,235.2708698,177.1581895,1.328027061,0.658024288,NA,203.802896,0.779311992,0.991489879,NA,0.866247896
32698,653.049,NA,NA,1.215348733,0.568317852,32994,204.0401594,0.767684831,0.991028672,NA,0.906787962
32705,654.454,223.8758675,186.1499298,1.20266426,0.555543833,33021,204.0619987,0.779469946,0.990430332,NA,0.911496183
32713,660.043,215.4163208,193.4864621,1.113340533,0.43959156,33020,204.0869551,0.799516082,0.990702604,NA,0.947407115
32729,656.679,214.2657207,194.793825,1.099961565,0.416528466,NA,204.1368587,0.769153036,0.989808262,0.953753937,0.952727566
NA,660.614,222.8700513,NA,1.188771846,0.540717403,NA,204.2771471,0.790153816,0.98955314,0.943721321,0.916575134
32775,649.807,220.0250995,189.8094038,1.159189666,0.505764488,NA,204.2802636,0.772630835,0.991319339,NA,0.928440728
32795,651.03,225.2102521,NA,1.213415795,0.566415511,NA,204.3425821,NA,0.99105497,NA,0.907341385
NA,654.824,223.1453687,187.4192621,1.190621317,0.542744878,NA,204.3456976,0.800820453,0.990486545,0.961128742,0.915751462
32799,653.729,NA,190.1123396,1.156713709,0.502601593,NA,204.3550436,NA,0.991295675,NA,0.929285523
32829,658.101,221.5995,189.0026275,1.172467827,0.522071263,NA,204.4484801,0.789785166,0.990197261,0.952538233,0.922603526
NA,669.19,218.4060038,NA,1.138962252,0.478674896,33225,204.4702758,0.80291471,0.988291949,NA,0.936193476
32849,664.105,230.7223076,181.7436855,1.269492841,0.616038378,33245,204.5107474,0.746568182,0.988088434,0.935962647,0.886393473
32870,655.512,220.3581629,NA,1.159653709,0.506352834,NA,204.5761077,0.781242573,0.990119887,NA,0.928379984
32885,659.728,227.0674037,184.5596932,1.230319577,0.582547095,NA,204.6227808,0.785669916,0.989766742,0.949462632,0.90115436
32920,671.612,219.0931338,191.4622125,1.144315272,0.486132629,33376,204.7316434,0.777974713,0.986337488,0.917134004,0.934450294
32925,656.646,225.1281702,186.4615283,1.207370616,0.560364527,NA,204.7471905,0.768683025,0.990166005,NA,0.909469438
32934,668.197,221.4087308,189.6018111,1.167756413,0.516407505,NA,204.7751722,0.776708646,0.986018383,NA,0.924873972
32947,668.231,209.6932927,200.2495993,1.047159612,0.296720861,NA,204.8155836,NA,0.988330934,NA,0.97673884
32951,688.26,226.6490462,185.5215755,1.221685649,0.574447868,NA,204.8280162,0.770801656,0.982907768,0.874124721,0.903723266
32988,676.797,224.7517099,187.1772945,1.20074238,0.553546741,33461,204.9429826,0.766699205,0.98586414,NA,0.911863953
33006,669.769,223.5277491,188.2429412,1.187442927,0.539249994,NA,204.9988888,0.757018349,0.986490525,NA,0.917107114
33010,665.85,224.9712592,NA,1.203762369,0.556677424,33374,205.0113104,0.791587732,0.989093306,NA,0.911277783
33013,652.684,223.7818539,188.0291423,1.190144523,0.542223823,NA,205.020626,0.789784689,0.991708973,NA,0.916162872
33019,655.703,224.4502114,187.5026272,1.197051022,0.549663318,NA,205.0392561,0.764328704,0.990371926,0.965071386,0.913517768
33051,663.071,218.9513714,NA,1.137563711,0.476689675,NA,205.1385878,0.777926846,0.98886994,0.94465755,0.936913921
NA,655.511,224.4458788,187.8781612,1.194635275,0.547087283,NA,205.1603102,0.799274662,0.992136855,NA,0.914074748
33062,667.966,222.0391436,189.7813412,1.169973519,0.51908899,NA,205.1727219,0.77866227,0.988725739,NA,0.924038522
NA,659.456,235.5600775,178.9312328,1.316483846,0.650391531,33333,205.2223615,0.787721471,0.992349923,NA,0.871210282
33078,652.214,221.3869025,190.3548121,1.163022358,0.510582618,33327,205.2223615,0.772417336,0.99252858,NA,0.926985107
33089,663.915,217.3358221,NA,1.119093377,0.448903019,NA,205.2564817,0.774410223,0.988734835,NA,0.944420849
33090,653.809,228.406675,184.6885548,1.236712666,0.588365282,NA,205.2595833,NA,0.992144399,NA,0.898658427
33143,648.385,NA,189.7373793,1.172812181,0.522480157,NA,205.4238989,NA,0.992989184,0.9906854,0.923144321
33159,653.801,222.4440287,189.98042,1.170878708,0.520175444,NA,205.4734778,0.788111423,0.99233877,0.974810341,0.923708669
33168,680.621,234.315548,180.5827539,1.297552191,0.637220052,NA,205.5013606,0.761240274,0.9888498,0.899742964,0.877028274
33171,654.338,NA,190.3614532,1.167534946,0.516138043,NA,205.5106541,NA,0.99228215,NA,0.924667176
33194,664.658,NA,182.0856017,1.275820505,0.621001572,NA,205.5818899,0.773698809,0.990274463,0.944219534,0.88495191
NA,660.788,210.8580025,NA,1.049424005,0.303273094,NA,205.711909,0.76828479,0.988842938,NA,0.975594507
33248,660.068,230.9698347,NA,1.259176693,0.607696024,NA,205.7490422,0.787661984,0.992151831,NA,0.890804821
NA,658.962,217.452163,194.9834825,1.115233763,0.442693503,NA,205.7583245,0.757943925,0.990645017,0.962263101,0.946223398
NA,704.493,234.7881384,180.705496,1.299286096,0.6384619,33857,205.8356604,0.759656652,0.98283959,NA,0.876686794
NA,670.587,229.2180829,185.2793615,1.237148493,0.588756561,NA,205.9593374,0.782616866,0.988634678,0.931005952,0.898530058
33319,668.601,NA,NA,1.191598158,0.543808892,NA,205.9686102,0.7960388,0.987756433,0.936629385,0.915345918
33325,674.433,223.8254842,189.7357064,1.179669807,0.530484185,NA,205.9871545,0.798969072,0.988843061,NA,0.920302508
33330,653.776,224.3601667,189.4313875,1.184387496,0.535842011,NA,206.0026068,NA,0.992555092,NA,0.918178168
NA,679.262,NA,NA,1.144328878,0.486151306,33834,206.0118777,0.772240756,0.98519241,NA,0.934161662
NA,659.103,232.2637945,NA,1.269766497,0.616255393,NA,206.0273281,0.776747437,0.991052053,NA,0.887040223
33344,661.508,225.3180561,NA,1.194253546,0.54667768,33692,206.0458672,0.763352487,0.989671139,NA,0.914466735
NA,659.434,222.8701044,190.920249,1.167346605,0.515908654,NA,206.1632423,0.781688327,0.989682775,0.964671718,0.925037671
33399,664.701,221.5599425,192.0898879,1.153418042,0.498328415,NA,206.2157306,0.761491108,0.989541361,NA,0.930744648
33421,654.804,219.5440823,194.0253903,1.131522436,0.46793088,33691,206.2836368,NA,0.99198599,NA,0.939600078
33423,659.036,224.1680528,NA,1.179949356,0.530804973,NA,206.289809,0.772982724,0.99157445,NA,0.920246246
33427,665.61,228.223182,186.6258656,1.222891486,0.575596241,NA,206.3021528,0.754491694,0.989286454,0.948129347,0.903949156
33429,658.605,229.4460905,NA,1.235586679,0.587351259,NA,206.3083245,0.791743641,0.99157595,NA,0.899158159
33431,666.841,219.9074077,NA,1.135413444,0.473606709,NA,206.3144959,0.788708802,0.989434119,0.94474509,0.938188022
33433,657.349,225.0025125,NA,1.186934863,0.538686621,33708,206.3206672,0.776807082,0.991841699,NA,0.916970503
33446,656.077,224.2339338,NA,1.178586895,0.529237524,NA,206.3607759,0.767814509,0.992080206,NA,0.920292359
NA,664.412,226.1186154,NA,1.198038824,0.550708725,NA,206.3638608,0.770224525,0.989819774,NA,0.912635435
NA,655.414,219.1299474,194.5431002,1.12638252,0.460233577,NA,206.4008768,0.786308517,0.990937361,0.978794213,0.941910858
NA,659.987,224.4599389,NA,1.181652029,0.53274976,33748,206.4286344,0.792329545,0.991703212,0.965536869,0.91966805
NA,657.523,227.9380769,NA,1.21686354,0.569797937,NA,206.5211327,0.781494961,0.992680397,NA,0.906040516
NA,657.067,218.8447518,NA,1.121171948,0.452185632,NA,206.6320761,0.783504673,0.992335691,NA,0.944194798
33538,658.284,227.5186814,NA,1.210566012,0.563582376,NA,206.6443995,NA,0.992248521,NA,0.908252449
NA,662.418,223.6835362,191.2006021,1.169889288,0.518987648,33915,206.6474802,NA,0.98891346,NA,0.923838579
NA,653.512,213.7540709,199.9257014,1.069167543,0.353836994,NA,206.6721244,0.783570411,0.991576023,NA,0.966868717
33560,669.259,227.9361768,187.8565921,1.213352027,0.566352488,33897,206.7121649,0.739858907,0.990058117,NA,0.906886164
33576,666.339,NA,190.4630178,1.179172355,0.529912303,NA,206.7614349,0.761792399,0.989654258,NA,0.920622505
33583,657.754,221.7110512,192.9504091,1.149057171,0.492559596,NA,206.7829868,NA,0.991584977,NA,0.93266883
33584,658.848,223.7351826,191.3544824,1.169218404,0.518178984,NA,206.7860655,0.748056576,0.991146264,NA,0.924244739
33607,690.171,214.7652972,199.5241432,1.076387518,0.369995763,NA,206.8568621,0.770802752,0.983753879,0.886596875,0.963176382
33620,670.224,222.7760833,192.2260318,1.158927754,0.505431801,34012,206.8968668,NA,0.988474656,0.940519106,0.928721179
NA,659.408,217.371862,197.0837827,1.102941394,0.421848171,33918,206.9060976,NA,0.991302553,0.97171275,0.951853178
33631,669.076,224.8894003,190.753366,1.178953771,0.52966059,34009,206.9307109,0.762884493,0.988885295,NA,0.92014435
33639,663.03,224.6629064,NA,1.177150939,0.52757456,NA,206.9553214,0.78625187,0.99174504,NA,0.921181537
33717,664.363,231.6225255,185.6531262,1.247609077,0.597950376,NA,207.1951199,0.766225798,0.992114168,NA,0.894537867
NA,671.696,231.1720126,NA,1.242015871,0.593081148,NA,207.2381313,NA,0.989962727,NA,0.896467219
NA,655.729,221.390268,194.1359516,1.140387786,0.480682529,NA,207.2534904,0.786863834,0.992585618,0.985949497,0.936145442
33794,665.826,NA,196.5777218,1.114062631,0.440779117,NA,207.4315723,0.77773175,0.99024233,NA,0.947176588
33809,669.341,230.2474971,187.1642998,1.230189184,0.582426873,NA,207.4776031,NA,0.990217614,NA,0.901106877
33824,656.339,NA,NA,1.130438948,0.466327555,34079,207.5236236,0.788438228,0.992517386,NA,0.940067907
33838,661.029,222.9735137,193.4836383,1.152415344,0.497013692,34146,207.5665669,0.782128328,0.99097991,0.973135967,0.930902346
NA,670.945,226.3816048,NA,1.188221248,0.540110507,NA,207.5880353,0.763926508,0.990807693,0.944779673,0.916982789
NA,669.571,221.610481,194.6713489,1.138382624,0.477854006,NA,207.6003019,0.786271777,0.98860948,NA,0.93678016
33858,664.46,NA,184.1392916,1.27259641,0.618486935,NA,207.6278992,0.781254326,0.9916818,0.963681409,0.886030247
33860,683.315,225.5350154,NA,1.177598412,0.528093987,34319,207.6340314,0.77518315,0.986625484,0.911286442,0.920628804
33864,662.898,221.2164258,NA,1.134073805,0.471666862,NA,207.6462953,NA,0.991131794,NA,0.938656768
33866,668.421,230.9311586,186.8608751,1.23584543,0.587584681,34171,207.652427,0.799933862,0.991074303,NA,0.899196229
33876,666.966,228.1491732,189.1647868,1.20608691,0.559059342,NA,207.6830826,0.788272251,0.990207828,NA,0.910295136
33930,666.214,224.1509688,192.8605622,1.162243676,0.50961126,NA,207.8485452,0.76272901,0.990628011,NA,0.927270341
33946,667.313,231.5425397,187.0289921,1.238003462,0.589522187,34246,207.8975459,0.791226721,0.991239853,NA,0.897880563
33946,668.564,234.754845,184.2937385,1.273808035,0.619435383,NA,207.8975459,0.761530869,0.990256709,0.954360587,0.885594271
NA,690.353,238.1924989,NA,1.311240651,0.646827292,NA,207.9434735,0.770405154,0.987841415,0.895463526,0.87300597
33961,667.497,233.113834,185.7332978,1.255099849,0.604309903,NA,207.9434735,0.771192406,0.990723183,NA,0.892025454
NA,666.389,222.3618326,194.7690372,1.141669311,0.482473841,NA,207.9679641,0.764705882,0.99150613,0.961251403,0.935268259
NA,672.812,232.9882693,NA,1.25319359,0.602708675,NA,207.9771473,0.785661425,0.989024426,NA,0.892650724
NA,669.092,219.7505747,197.0923214,1.114962639,0.442251584,NA,208.0414186,NA,0.991078457,NA,0.946716153
NA,663.743,223.0963581,194.3808765,1.147727915,0.490774479,34285,208.0505986,0.764693974,0.991570658,0.969700851,0.932559367
34004,659.963,229.0597505,189.1650397,1.210898964,0.563915151,NA,208.0750765,0.781970795,0.992035476,0.981071581,0.908387772
34027,670.16,231.6577053,187.4123657,1.236085487,0.587801025,34334,208.1454347,NA,0.991058426,NA,0.898504258
34036,666.067,226.9280102,NA,1.187417987,0.539222369,NA,208.1729597,0.753842746,0.990311036,NA,0.917352422
34051,677.272,227.6209458,190.6640036,1.193832824,0.546225424,NA,208.2188266,0.757901531,0.986928294,0.932853601,0.914761275
34053,671.582,232.4361441,186.7914403,1.24436186,0.595136326,NA,208.2249414,NA,0.991007508,0.948783552,0.895837186
34060,662.146,220.4383774,196.882203,1.119646032,0.449779934,34367,208.2463418,0.789083496,0.991067012,0.976218398,0.944691865
34082,668.346,230.626947,NA,1.22419118,0.576827653,NA,208.3135861,0.801740767,0.991793738,NA,0.903249117
NA,680.595,227.819142,190.8101712,1.193957013,0.54635901,NA,208.359422,0.762250738,0.98826155,0.925014467,0.914582595
NA,667.289,229.478736,189.5440417,1.210688207,0.563704561,34421,208.3808087,NA,0.990790506,0.962470112,0.908061515
34113,673.914,221.2423662,196.5103818,1.125855866,0.459431581,34492,208.4083026,0.77466164,0.989011945,NA,0.941990931
NA,666.585,235.5413478,NA,1.274725908,0.620151121,NA,208.4602256,0.795515465,0.992381949,NA,0.885026037
34131,668.091,224.3380186,193.8042127,1.157549753,0.503674085,NA,208.4632795,0.770625423,0.990079192,0.960920889,0.929237411
34151,674.271,231.5136009,188.035623,1.231222027,0.583377426,NA,208.524348,0.750455974,0.987593985,NA,0.900700206
NA,662.129,NA,192.2363364,1.17836629,0.528982779,34389,208.524348,0.778210737,0.993079182,NA,0.920536431
34179,677.064,225.0605017,193.5928928,1.16254527,0.50998793,NA,208.6098138,0.778015524,0.988518047,NA,0.926905486
34191,661.403,223.9809149,194.474673,1.1517228,0.496101592,NA,208.6464313,NA,0.992625925,0.982176064,0.931536651
34207,668.737,228.0324687,191.4154535,1.191296024,0.543480298,NA,208.6952446,NA,0.991076344,NA,0.91519969
34207,661.138,226.8735177,NA,1.180435819,0.531362195,34421,208.6952446,0.774299425,0.993782865,NA,0.919874857
NA,677.527,NA,NA,1.247240782,0.597632979,NA,208.734897,0.773752996,0.989675218,NA,0.895154791
34222,671.994,223.2982638,NA,1.143721216,0.485315785,NA,208.7409967,NA,0.989761684,NA,0.93480797
34239,666.439,232.6862934,187.7243461,1.239510475,0.59086546,NA,208.792837,0.769554077,0.992147204,NA,0.897314723
NA,684.324,229.9085042,NA,1.21010116,0.563116981,NA,208.8141792,0.779558388,0.98600714,NA,0.908249044
NA,672.539,NA,191.3685323,1.191440814,0.543637825,34556,208.8355193,0.792893519,0.991231624,NA,0.915928067
34254,668.704,NA,194.9291861,1.148975344,0.492450072,NA,208.8385677,0.775363303,0.990715835,NA,0.932444792
34259,676.402,227.5449241,NA,1.185944914,0.537585123,NA,208.8538091,0.770124761,0.989486757,NA,0.917857473
34276,689.626,229.5589772,NA,1.205594039,0.558556303,NA,208.9056214,0.763113367,0.986700443,0.905675761,0.910030285
34291,671.507,230.658067,189.6239312,1.216397453,0.569343533,NA,208.9513274,0.78204251,0.990525434,NA,0.905892129
NA,671.844,220.9339754,NA,1.115243208,0.442708884,34600,209.0183449,0.796975891,0.991705202,NA,0.946067007
34321,669.531,227.9958451,NA,1.188547268,0.540470046,34652,209.0427095,0.787467878,0.990447882,NA,0.916870698
NA,677.311,231.1581283,NA,1.221092393,0.573880789,NA,209.0609812,0.793596116,0.98885176,NA,0.904406791
34333,665.686,229.2148642,NA,1.200883421,0.553693873,NA,209.0792512,0.779056047,0.99251272,NA,0.912153982
NA,667.785,NA,190.6295846,1.205514668,0.558475195,NA,209.0914304,0.809796708,0.992886678,0.967606759,0.909857612
34349,674.863,238.2312433,NA,1.296673425,0.636587835,NA,209.1279635,NA,0.991456199,NA,0.877836008
34390,680.24,245.0146708,NA,1.368991991,0.682950707,NA,209.252737,0.793932958,0.989384044,0.933937272,0.854041663
34394,669.762,230.9211333,NA,1.215980692,0.568936466,NA,209.264906,NA,0.990325367,NA,0.90621808
NA,665.156,231.7171471,189.1898259,1.224786513,0.577389526,NA,209.2679482,0.791235335,0.992984583,NA,0.903118094
34397,678.85,229.7747022,NA,1.20343992,0.556345118,NA,209.2740324,0.772202766,0.989101679,0.937956691,0.910779256
34410,684.481,232.4579361,NA,1.230329164,0.582555932,NA,209.3135751,0.80069808,0.98873628,NA,0.900436348
NA,667.199,233.9589857,187.3982909,1.248458481,0.598680683,34677,209.319658,NA,0.992358047,0.971424393,0.894685269
34419,687.797,224.1432457,NA,1.14583779,0.488214125,34885,209.3409465,0.775202703,0.986641823,NA,0.933960539
34421,678.034,232.4039146,189.1497475,1.228676843,0.581027879,34762,209.3470286,0.755708264,0.990190438,NA,0.900789597
NA,680.503,232.6456666,188.5544051,1.233838406,0.585767825,NA,209.3591921,0.758928571,0.989480038,NA,0.899905832
34428,688.178,229.7324979,NA,1.20040554,0.553194986,34908,209.3683143,0.777770247,0.98624957,NA,0.911356975
34441,675.683,228.6978291,191.9152031,1.191660824,0.543876991,NA,209.4078393,0.790874437,0.988945041,0.947980998,0.915652939
34443,684.507,234.60733,187.5726238,1.250754642,0.600643034,NA,209.4139194,0.784650082,0.987641223,NA,0.892614563
34447,682.912,225.0874113,195.3291753,1.152349161,0.496926671,NA,209.4260791,0.745783628,0.988351075,NA,0.93042111
34461,675.775,246.7254393,178.1577837,1.384870389,0.691799925,34691,209.4686324,0.770181477,0.993370038,0.948273245,0.84899487
34469,666.834,230.1579705,190.9936711,1.205055483,0.558005411,34747,209.4929447,0.789667812,0.991999309,0.974098956,0.910213729
34474,672.3,225.6494093,NA,1.159255102,0.505847536,NA,209.5081384,NA,0.991372865,NA,0.92846748
34475,677.676,241.0431821,182.3691135,1.321732487,0.65389796,NA,209.511177,0.776463964,0.988445438,0.943343645,0.869185244
NA,687.567,233.7407243,NA,1.239426102,0.590790465,NA,209.5354844,0.740677893,0.983795042,NA,0.896444062
34491,674.657,NA,188.5763657,1.236543276,0.588213024,NA,209.5597889,0.785850991,0.990295443,NA,0.898693024
34503,678.24,236.5446412,185.8927694,1.272478978,0.618394789,34885,209.5962405,NA,0.989049735,0.94254029,0.886074778
34509,668.332,NA,190.9197413,1.206420478,0.559399185,34776,209.6144638,0.783654283,0.992322291,0.970862501,0.910063526
34521,667.908,224.7553177,195.6829765,1.148568576,0.491904913,NA,209.6509059,0.78580046,0.991128338,NA,0.932796198
34523,673.987,231.9170486,189.734176,1.22232617,0.575058574,NA,209.6569789,0.785863874,0.989821664,NA,0.904017105
34532,689.551,217.0221026,202.7149085,1.070577908,0.357077019,35057,209.6843055,0.768333927,0.985024389,0.912638553,0.966188711
NA,670.896,235.0180104,NA,1.254827198,0.604081588,34826,209.7176998,NA,0.991873887,NA,0.892347354
34543,669.456,226.9754434,193.972557,1.170142039,0.51929162,34827,209.7176998,0.786784803,0.991845407,0.968558463,0.923966472
NA,670.069,233.4408877,NA,1.236013359,0.587736043,34848,209.8724584,0.781432121,0.992711203,NA,0.899038984
34600,673.252,231.4349165,190.4578223,1.215150492,0.568123459,NA,209.8906578,NA,0.990864572,NA,0.906910077
34601,685.556,226.5195392,194.7187568,1.163316482,0.510948533,NA,209.8936909,0.780620417,0.987246063,NA,0.926603028
34622,683.382,235.9288048,187.0530848,1.261293312,0.609433752,NA,209.9573755,0.763726204,0.988917452,0.931611724,0.889918362
34623,675.213,NA,193.5033005,1.179278959,0.53003497,34965,209.9604076,0.759576148,0.99021879,NA,0.920094597
NA,667.845,231.8884211,NA,1.217464754,0.570382778,NA,209.9695037,0.761848185,0.991779566,NA,0.905476447
NA,670.997,233.1312208,189.6828749,1.22905782,0.581381107,NA,209.9785994,0.745816373,0.991808678,0.966515131,0.900688456
NA,670.02,229.3367837,192.4014026,1.191970436,0.544213158,34953,209.9846629,0.760686201,0.990787629,NA,0.915617022
34635,667.638,227.0632245,NA,1.167929264,0.51661761,NA,209.9967896,0.764012971,0.991582925,NA,0.924838401
